product_id,product_name,product_class,product_description
0,solid wood platform bed,Beds,good 
1,all-clad 7 qt slow cooker,Slow Cookers,create delicious slow-cooked meals 
2,all-clad electrics 6.5 qt slow cooker,Slow Cookers,prepare home-cooked meals on any schedule with this essential slow cooker 
3,all-clad all professional tools pizza cutter,Slicers,
4,baldwin prestige alcott passage knob with round rosette,Door Knobs,the hardware has a rich heritage of delivering modern luxury to discriminating homeowners . this offers effortless 
5,vogan 33 '' single bathroom vanity,Vanities,the vogan vanity from our vogan series is a 33 '' wide single bowl vanity . the vanity is beautiful and decorative as well as designed to make installation as easy as possible . it comes with a mounted beige solid marble top with pre-drilled holes for faucets 
6,vogelsang 48 '' single bathroom vanity,Vanities,the vogelsang top vanity is a 48 '' wide single bowl vanity . the vanity is beautiful and decorative as well as designed to make installation as easy as possible . it comes with a mounted hand-hammered copper top and bowl with pre-drilled holes for faucets the back was designed with an opening to allow for easy plumbing hook-ups . this collection boasts a spanish influence with its large scaled details in a finish of varying tones of rich darker tones featuring a contrast of distressed creamy beige and delicately detailed with hand-painted scrolls . consider ordering 2 for a large master bath application or for smaller space requirements consider our equally beautiful lima copper top vanity with an efficient 25 '' width . the vogelsang copper top vanity is part of our santa lucia collection consisting of 
7,36 '' single bathroom vanity,Vanities,vanity has an extra thick marble top with a bullnose edge on 3 sides spread for your faucet and white ceramic inset sink .
8,erith obliqui urn,Vases,best
9,vezina 65 '' rolled arm chesterfield loveseat,Sofas,in the endless world of sofa style options 
10,trestle coffee table,Coffee & Cocktail Tables,it is an elegant french design that can be placed well in most designer aesthetics .
